Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
322	2021-03-16 16:04:01	D02P2	AF1105	10.395	press	right	None	Press	0	Press
335	2021-03-16 16:04:01	D02P2	AF1105	10.762	press	thrust	None	Press	0	Press
367	2021-03-16 16:04:01	D02P2	AF1105	11.596	press	right	None	Press	0	Press
377	2021-03-16 16:04:01	D02P2	AF1105	11.863	press	right	None	Press	0	Press
386	2021-03-16 16:04:01	D02P2	AF1105	12.096	press	right	None	Press	0	Press
396	2021-03-16 16:04:01	D02P2	AF1105	12.264	bonus_available	None	None	NewBonus	0	GameEvent
398	2021-03-16 16:04:01	D02P2	AF1105	12.328	press	right	None	Press	0	Press
411	2021-03-16 16:04:01	D02P2	AF1105	12.595	press	fire	None	Press	0	Press
413	2021-03-16 16:04:01	D02P2	AF1105	12.628	press	right	None	Press	0	Press
424	2021-03-16 16:04:01	D02P2	AF1105	12.863	collide	missile_0	fortress	FortressShot	0	GameEvent
440	2021-03-16 16:04:01	D02P2	AF1105	13.328	press	shots	None	Press	0	Press
442	2021-03-16 16:04:01	D02P2	AF1105	13.328	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
459	2021-03-16 16:04:01	D02P2	AF1105	13.662	press	right	None	Press	0	Press
471	2021-03-16 16:04:01	D02P2	AF1105	13.996	press	fire	None	Press	0	Press
486	2021-03-16 16:04:01	D02P2	AF1105	14.363	press	right	None	Press	0	Press
491	2021-03-16 16:04:01	D02P2	AF1105	14.397	new_mine	foe	None	NewMine	0	GameEvent
506	2021-03-16 16:04:01	D02P2	AF1105	14.763	press	fire	None	Press	0	Press
516	2021-03-16 16:04:01	D02P2	AF1105	14.996	press	right	None	Press	0	Press
525	2021-03-16 16:04:01	D02P2	AF1105	15.163	collide	missile_1	fortress	FortressShot	0	GameEvent
539	2021-03-16 16:04:01	D02P2	AF1105	15.496	press	fire	None	Press	0	Press
562	2021-03-16 16:04:01	D02P2	AF1105	16.129	press	left	None	Press	0	Press
574	2021-03-16 16:04:01	D02P2	AF1105	16.461	press	right	None	Press	0	Press
589	2021-03-16 16:04:01	D02P2	AF1105	16.761	press	fire	None	Press	0	Press
600	2021-03-16 16:04:01	D02P2	AF1105	17.062	press	right	None	Press	0	Press
622	2021-03-16 16:04:01	D02P2	AF1105	17.495	press	right	None	Press	0	Press
631	2021-03-16 16:04:01	D02P2	AF1105	17.696	press	right	None	Press	0	Press
655	2021-03-16 16:04:01	D02P2	AF1105	18.396	press	iff	None	Press	0	Press
666	2021-03-16 16:04:01	D02P2	AF1105	18.529	press	iff	None	Press	0	Press
676	2021-03-16 16:04:01	D02P2	AF1105	18.729	press	fire	None	Press	0	Press
690	2021-03-16 16:04:01	D02P2	AF1105	19.096	press	thrust	None	Press	0	Press
698	2021-03-16 16:04:01	D02P2	AF1105	19.262	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
740	2021-03-16 16:04:01	D02P2	AF1105	20.263	press	thrust	None	Press	0	Press
762	2021-03-16 16:04:01	D02P2	AF1105	20.828	press	right	None	Press	0	Press
770	2021-03-16 16:04:01	D02P2	AF1105	20.928	collide	shell	0	ShipDamage	-50	Flight
771	2021-03-16 16:04:01	D02P2	AF1105	20.962	press	thrust	None	Press	0	Press
779	2021-03-16 16:04:01	D02P2	AF1105	21.029	warp	up	None	BorderCrossing	-35	Flight
809	2021-03-16 16:04:01	D02P2	AF1105	21.796	press	right	None	Press	0	Press
826	2021-03-16 16:04:01	D02P2	AF1105	22.263	press	right	None	Press	0	Press
841	2021-03-16 16:04:01	D02P2	AF1105	22.563	press	thrust	None	Press	0	Press
886	2021-03-16 16:04:01	D02P2	AF1105	23.796	press	fire	None	Press	0	Press
892	2021-03-16 16:04:01	D02P2	AF1105	23.895	press	right	None	Press	0	Press
911	2021-03-16 16:04:01	D02P2	AF1105	24.365	new_mine	foe	None	NewMine	0	GameEvent
916	2021-03-16 16:04:01	D02P2	AF1105	24.529	press	fire	None	Press	0	Press
928	2021-03-16 16:04:01	D02P2	AF1105	24.729	press	right	None	Press	0	Press
940	2021-03-16 16:04:01	D02P2	AF1105	25.028	collide	missile_1	fortress	FortressShot	0	GameEvent
953	2021-03-16 16:04:01	D02P2	AF1105	25.395	press	right	None	Press	0	Press
975	2021-03-16 16:04:01	D02P2	AF1105	25.896	press	shots	None	Press	0	Press
977	2021-03-16 16:04:01	D02P2	AF1105	25.896	shots_bonus_failure	None	None	BonusFailure	-50	Bonus
989	2021-03-16 16:04:01	D02P2	AF1105	26.196	press	iff	None	Press	0	Press
996	2021-03-16 16:04:01	D02P2	AF1105	26.329	press	iff	None	Press	0	Press
1002	2021-03-16 16:04:01	D02P2	AF1105	26.428	press	right	None	Press	0	Press
1017	2021-03-16 16:04:01	D02P2	AF1105	26.729	press	fire	None	Press	0	Press
1031	2021-03-16 16:04:01	D02P2	AF1105	27.129	press	thrust	None	Press	0	Press
