;Date;Session;Pseudo;TotalScore;Flight;Bonus;Mine;Fortress;Treatment;NET;GameLevel;Age;Genre;Group;ZScore
1;04/06/2018 13:51;D01P1;AC2302;2710;-790;600;900;2000;2;17;9;24;Homme;SHAM;-0.931205069416125
2;05/06/2018 12:31;D02P1;AC2302;5060;-610;2600;1070;2000;2;17;9;24;Homme;SHAM;-0.418918296938598
3;05/06/2018 12:31;D02P2;AC2302;8305;-335;1750;3390;3500;2;17;9;24;Homme;SHAM;0.288473437822923
4;06/06/2018 12:38;D03P1;AC2302;9800;-100;1450;2950;5500;2;17;9;24;Homme;SHAM;0.614375022867137
5;06/06/2018 12:38;D03P2;AC2302;12255;-185;2350;3340;6750;2;17;9;24;Homme;SHAM;1.1495512043277
6;07/06/2018 12:40;D04P1;AC2302;12940;-100;1950;3340;7750;2;17;9;24;Homme;SHAM;1.29887734864562
7;07/06/2018 12:40;D04P2;AC2302;15720;-50;2100;3670;10000;2;17;9;24;Homme;SHAM;1.90490170076797
8;08/06/2018 12:39;D05P1;AC2302;15370;-350;1200;3270;11250;2;17;9;24;Homme;SHAM;1.82860367082451
9;08/06/2018 12:39;D05P2;AC2302;18790;-350;1400;3240;14500;2;17;9;24;Homme;SHAM;2.57414442055776
10;19/06/2018 12:42;D14P1;AC2302;18855;-985;1400;3690;14750;2;17;9;24;Homme;SHAM;2.58831405469012
11;19/06/2018 12:42;D14P2;AC2302;21610;-950;1750;3560;17250;2;17;9;24;Homme;SHAM;3.18888854753079
23;18/11/2019 19:46;D01P1;AL2409;3715;-825;700;2590;1250;2;16;6;20;Homme;SHAM;-0.712120726292757
24;19/11/2019 18:00;D02P1;AL2409;6990;-190;2000;2930;2250;2;16;6;20;Homme;SHAM;0.00181083960677497
25;19/11/2019 18:12;D02P2;AL2409;6760;-670;1800;3130;2500;2;16;6;20;Homme;SHAM;-0.0483278657846425
26;20/11/2019 17:03;D03P1;AL2409;8230;-150;2150;3730;2500;2;16;6;20;Homme;SHAM;0.272123859977896
27;20/11/2019 17:15;D03P2;AL2409;8550;-350;2800;3350;2750;2;16;6;20;Homme;SHAM;0.341882058783346
28;21/11/2019 15:08;D04P1;AL2409;10090;-100;3200;3740;3250;2;16;6;20;Homme;SHAM;0.677593390534576
29;21/11/2019 15:19;D04P2;AL2409;9970;-150;2700;3920;3500;2;16;6;20;Homme;SHAM;0.651434065982533
30;22/11/2019 18:32;D05P1;AL2409;8960;-400;2150;3710;3500;2;16;6;20;Homme;SHAM;0.431259751002829
31;22/11/2019 18:45;D05P2;AL2409;10090;-300;2750;4140;3500;2;16;6;20;Homme;SHAM;0.677593390534576
32;02/12/2019 19:41;D14P1;AL2409;10200;-350;2900;4150;3500;2;16;6;20;Homme;SHAM;0.70157277137395
33;02/12/2019 19:52;D14P2;AL2409;10570;-400;2650;3820;4500;2;16;6;20;Homme;SHAM;0.782230688742752
34;02/12/2019 07:37;D01P1;AR1208;2425;-2955;1200;2430;1750;1;14;3.5;19;Femme;STIMSD;-0.993333465227229
