"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.1","2018-06-04 13:51:49","D01P1","AC2302",2,2710,-790,600,900,2000,"D01",-0.81673216103144,0.392914399253462,-1.0675473755046,-1.25662320309268,-0.581067362132004
"result.2","2018-06-05 12:31:19","D02P1","AC2302",2,5060,-610,2600,1070,2000,"D02",-0.312723393336813,0.551334866512339,1.31957634703745,-1.1152863742355,-0.581067362132004
"result.3","2018-06-05 12:31:19","D02P2","AC2302",2,8485,-335,1750,3570,3500,"D02",0.421842576601102,0.793366135935621,0.305048764957079,0.963196403075877,-0.109589401910898
"result.4","2018-06-06 12:38:01","D03P1","AC2302",2,10000,-100,1450,3150,5500,"D03",0.746767377902106,1.00019285707915,-0.0530197934242296,0.614011296487565,0.519047878383911
"result.5","2018-06-06 12:38:01","D03P2","AC2302",2,12515,-185,2350,3600,6750,"D03",1.28616399524338,0.925383191984685,1.02118588171969,0.988138196403613,0.911946178568166
"result.6","2018-06-07 12:40:09","D04P1","AC2302",2,12990,-100,1950,3390,7750,"D04",1.3880381078625,1.00019285707915,0.543761137211284,0.813545643109457,1.22626481871557
"result.7","2018-06-07 12:40:09","D04P2","AC2302",2,15660,-50,2100,3610,10000,"D04",1.96067785669002,1.04419854242884,0.722795416401938,0.996452127512859,1.93348175904723
"result.8","2018-06-08 12:39:56","D05P1","AC2302",2,15550,-350,1200,3450,11250,"D05",1.93708595692559,0.780164430330715,-0.351410258741986,0.86342922976493,2.32638005923148
"result.9","2018-06-08 12:39:56","D05P2","AC2302",2,18820,-350,1400,3270,14500,"D05",2.63840879537726,0.780164430330715,-0.112697886487781,0.713778469798511,3.34791563971055
"result.10","2018-06-19 12:42:06","D14P1","AC2302",2,19075,-985,1400,3910,14750,"D14",2.69309910846753,0.22129222638968,-0.112697886487781,1.24587006079022,3.4264952997474
"result.11","2018-06-19 12:42:06","D14P2","AC2302",2,21770,-950,1750,3720,17250,"D14",3.27110065269605,0.252096206134461,0.305048764957079,1.08790536971456,4.21229190011591
